,path,category,1,2,3,4,5,6
0,..\..\processed_data\train_set\1\16_09_21_00_000.png,1,35.5228271484375,52.44366455078125,50.23321533203125,56.977294921875,54.762451171875,62.4407958984375
1,..\..\processed_data\train_set\1\16_09_21_00_001.png,1,48.64520263671875,58.8927001953125,58.71630859375,61.30950927734375,61.97613525390625,65.86077880859375
2,..\..\processed_data\train_set\1\16_09_21_00_002.png,1,36.89691162109375,45.8560791015625,37.24365234375,54.30267333984375,49.84185791015625,53.51910400390625
3,..\..\processed_data\train_set\1\16_09_21_00_003.png,1,44.870361328125,48.71258544921875,47.27459716796875,54.0482177734375,53.3214111328125,53.9534912109375
4,..\..\processed_data\train_set\1\16_09_21_00_004.png,1,40.58465576171875,54.9879150390625,52.6280517578125,57.31439208984375,54.35064697265625,63.11322021484375
5,..\..\processed_data\train_set\1\16_09_21_00_005.png,1,38.886474609375,55.22686767578125,52.99249267578125,57.1875,54.500732421875,63.839111328125
6,..\..\processed_data\train_set\1\16_09_21_00_006.png,1,39.51080322265625,55.0172119140625,52.82177734375,58.03778076171875,54.37799072265625,63.73602294921875
7,..\..\processed_data\train_set\1\16_09_21_00_007.png,1,40.91400146484375,56.1021728515625,53.453857421875,57.74908447265625,55.11822509765625,64.07647705078125
8,..\..\processed_data\train_set\1\16_09_21_00_008.png,1,42.76171875,53.01007080078125,43.94256591796875,56.672119140625,49.478515625,55.5845947265625
9,..\..\processed_data\train_set\1\16_09_21_00_009.png,1,37.0281982421875,48.95648193359375,41.49664306640625,59.38671875,52.7703857421875,59.6749267578125
10,..\..\processed_data\train_set\1\16_09_21_00_010.png,1,38.21875,54.31390380859375,52.50042724609375,57.1298828125,54.5343017578125,62.9119873046875
11,..\..\processed_data\train_set\1\16_09_21_00_011.png,1,47.64947509765625,45.66650390625,46.763427734375,55.11175537109375,57.52496337890625,54.25482177734375
12,..\..\processed_data\train_set\1\16_09_21_00_012.png,1,56.2523193359375,58.49566650390625,51.24151611328125,59.8291015625,55.557861328125,55.33740234375
13,..\..\processed_data\train_set\1\16_09_21_00_013.png,1,56.14410400390625,52.58447265625,46.5113525390625,54.39178466796875,52.57122802734375,52.49542236328125
14,..\..\processed_data\train_set\1\16_09_21_00_014.png,1,43.826904296875,50.36993408203125,41.19305419921875,60.3087158203125,52.361328125,59.3902587890625
15,..\..\processed_data\train_set\1\16_09_21_00_015.png,1,48.95263671875,58.73004150390625,52.53851318359375,55.2969970703125,50.2412109375,58.913330078125
16,..\..\processed_data\train_set\1\16_09_21_00_016.png,1,45.40960693359375,53.7462158203125,50.79296875,61.71368408203125,60.00665283203125,66.78204345703125
17,..\..\processed_data\train_set\1\16_09_21_00_017.png,1,60.18658447265625,60.010498046875,51.91259765625,58.48138427734375,54.81585693359375,56.44952392578125
18,..\..\processed_data\train_set\1\16_09_21_00_018.png,1,46.28643798828125,47.804931640625,47.2421875,53.71832275390625,55.78363037109375,53.00225830078125
19,..\..\processed_data\train_set\1\16_09_21_00_019.png,1,53.21905517578125,52.017578125,45.491943359375,55.19671630859375,50.11053466796875,54.41375732421875
20,..\..\processed_data\train_set\1\16_09_21_00_020.png,1,52.33880615234375,51.1756591796875,46.4376220703125,52.81036376953125,50.59588623046875,50.46282958984375
21,..\..\processed_data\train_set\1\16_09_21_00_021.png,1,39.951416015625,49.13433837890625,40.63043212890625,60.336181640625,53.18310546875,58.71533203125
22,..\..\processed_data\train_set\1\16_09_21_00_022.png,1,43.47882080078125,55.8704833984375,56.028076171875,58.47186279296875,58.59112548828125,64.93206787109375
23,..\..\processed_data\train_set\1\16_09_21_00_023.png,1,40.048828125,49.57501220703125,45.26531982421875,56.5399169921875,56.14892578125,63.6171875
24,..\..\processed_data\train_set\1\16_09_21_00_024.png,1,54.03912353515625,58.65625,50.32080078125,55.69305419921875,50.65484619140625,55.28839111328125
25,..\..\processed_data\train_set\1\16_09_21_00_025.png,1,37.87969970703125,51.565185546875,42.93994140625,55.98065185546875,48.51263427734375,54.84405517578125
26,..\..\processed_data\train_set\1\16_09_21_00_026.png,1,34.470703125,47.63787841796875,40.53826904296875,58.708251953125,51.831298828125,59.3040771484375
27,..\..\processed_data\train_set\1\16_09_21_00_027.png,1,33.180419921875,46.13360595703125,38.91766357421875,58.0594482421875,53.5057373046875,58.306884765625
28,..\..\processed_data\train_set\1\16_09_21_00_028.png,1,53.92022705078125,57.09716796875,49.689697265625,56.62139892578125,50.92266845703125,57.11712646484375
29,..\..\processed_data\train_set\1\16_09_21_00_029.png,1,37.0467529296875,50.16717529296875,45.31707763671875,57.4173583984375,51.6781005859375,60.871337890625
30,..\..\processed_data\train_set\1\16_09_21_00_030.png,1,43.629638671875,51.61224365234375,42.50738525390625,60.43701171875,53.218505859375,58.772216796875
31,..\..\processed_data\train_set\1\16_09_21_00_031.png,1,61.1566162109375,64.51593017578125,58.61383056640625,60.439208984375,55.1824951171875,59.6224365234375
32,..\..\processed_data\train_set\1\16_09_21_00_032.png,1,39.104736328125,48.82257080078125,39.00872802734375,57.552734375,50.7650146484375,57.743408203125
33,..\..\processed_data\train_set\1\16_09_21_00_033.png,1,40.30816650390625,49.6666259765625,44.1663818359375,59.52679443359375,55.77288818359375,63.62603759765625
34,..\..\processed_data\train_set\1\16_09_21_00_034.png,1,37.12567138671875,48.27734375,39.1854248046875,57.38580322265625,48.70831298828125,56.04119873046875
35,..\..\processed_data\train_set\1\16_09_21_00_035.png,1,42.4718017578125,50.89691162109375,42.16558837890625,54.849365234375,47.31201171875,52.89697265625
36,..\..\processed_data\train_set\1\16_09_21_00_036.png,1,43.43701171875,55.43658447265625,53.86309814453125,59.182861328125,58.4486083984375,65.725830078125
37,..\..\processed_data\train_set\1\16_09_21_00_037.png,1,37.447509765625,54.90582275390625,52.02532958984375,57.07177734375,54.71484375,62.88427734375
38,..\..\processed_data\train_set\1\16_09_21_00_038.png,1,38.521484375,48.08843994140625,45.29693603515625,59.59033203125,57.575439453125,63.6175537109375
39,..\..\processed_data\train_set\1\16_09_21_00_039.png,1,61.29595947265625,57.1883544921875,52.01171875,58.53033447265625,55.28009033203125,55.23944091796875
40,..\..\processed_data\train_set\1\16_09_21_00_040.png,1,43.5601806640625,50.07305908203125,42.87005615234375,54.6513671875,48.655029296875,53.9298095703125
41,..\..\processed_data\train_set\1\16_09_21_00_041.png,1,39.74462890625,50.43463134765625,41.47882080078125,59.5050048828125,50.326171875,57.71875
42,..\..\processed_data\train_set\1\16_09_21_00_042.png,1,41.28314208984375,49.0445556640625,44.7877197265625,59.97064208984375,58.05706787109375,64.30389404296875
43,..\..\processed_data\train_set\1\16_09_21_00_043.png,1,57.6845703125,63.16021728515625,56.15924072265625,58.83642578125,52.4818115234375,58.2308349609375
44,..\..\processed_data\train_set\1\16_09_21_00_044.png,1,36.041015625,47.90875244140625,38.96917724609375,58.5662841796875,50.941162109375,58.6585693359375
45,..\..\processed_data\train_set\1\16_09_21_00_045.png,1,38.6390380859375,50.06231689453125,48.43365478515625,58.748779296875,57.748046875,63.5628662109375
46,..\..\processed_data\train_set\1\16_09_21_00_046.png,1,41.002197265625,48.05059814453125,39.90301513671875,54.2708740234375,47.8231201171875,52.5643310546875
